Risk,AI,Elevation,ET,GDP,GSH,GSS,Population,Precipitation,Slope,Soil_OC,Temperature,TWI,Urban,WTD,Longitude,Latitude,airport,Finishing_textiles,Firefighting_training,Landfill,Manufacture_articles,Manufacture_fabricated_metal,Manufacture_organic_basic,Manufacture_petroleum,Manufacture_plastics,Manufacture_pulp_paper,Manufacture_rubber,Military,PFAS_production,Sewerage,Tanning_dressing,WWTP
0,8370,11,723,1216813,2,3,125,55,1.493001699,121.341568,14.10000038,-3,0,-10.40665293,9.920833333,57.09583333,4338,558612,157560,9098,84268,163177,243614,133575,157241,136460,183835,4022,675845,36260,196889,9458
0,8182,4,734,2435196.75,3,4,386,54,0.325857878,98.66157532,14.19999981,-2,0,-2.960250248,9.904166667,57.0875,3369,557545,157857,9160,83779,163136,244760,134915,158608,137572,184021,3177,674527,37280,198095,9811
0,9042,37.5,703,285850.0938,3,4,41,56,1.427582502,77.43350983,13.80000019,0,0,-21.91195544,10.14583333,57.0875,17928,559943,165591,7658,79461,173594,241538,122631,148622,123095,172996,17643,682368,32550,183987,7610
0,10823,43.5,712,,3,4,7,59,1.846054316,152.9086456,13.69999981,-3,0,-23.39208057,9.3375,57.07916667,30957,552666,141440,32735,101159,142118,256120,165518,184898,153474,211186,31281,656409,32305,231579,25234
0,8771,15.5,713,,3,5,24,54,0.650390387,108.8157806,13.89999962,-1,0,-7.171740291,10.1875,57.07916667,20494,559489,167775,9358,78059,176076,241973,121097,147680,120733,170519,20226,682972,31555,181812,9307
0,10852,50.5,712,1361511,4,5,7,60,1.394982338,74.33278656,13.69999981,-2,0,-28.91584649,9.3375,57.07083333,31019,551743,142241,31879,100462,142884,256984,165921,185471,154367,210686,31355,655598,31455,231790,25756
1,8103,6.5,773,9396556,,,221,56,0.479769349,,14.5,-1,1,,9.979166667,57.0625,8542,555499,162543,3995,79560,168291,246382,132552,157450,133461,178755,8442,674582,38298,194436,4510
1,8250,5,756,9396556,,,221,56,0.411110222,91.01463318,14.5,,0,,9.9875,57.0625,9008,555580,162801,3711,79391,168645,246267,132130,157106,132963,178368,8895,674852,38646,193951,4059
0,8604,8,725,,3,5,19,53,0.266130328,51.08749008,13.89999962,0,0,-0.717174029,10.27083333,57.0625,25700,558622,172185,13738,75469,181057,242925,118147,145920,116046,165586,25457,684216,30183,177499,13687
1,8050,5.5,763,45536016,4,5,1766,55,0.559943259,,14.60000038,0,1,,9.9375,57.04583333,7462,553273,162879,5123,78728,167876,248769,135675,160527,136236,179539,7553,671669,35224,197364,6606
0,8695,5.5,709,54938.23438,4,5,24,53,0.118093684,73.83882904,14,-1,0,-0.335698482,10.15416667,57.04583333,19156,555476,169726,6549,74827,177130,245990,124902,151813,123313,169515,18983,678768,35703,184789,6500
0,9054,37.5,726,4831827,2,3,8,59,1.550146341,60.00116348,14.39999962,-4,0,-0.259403372,22.57083333,57.04583333,41201,182772,705253,38737,87450,400376,721567,77707,180886,312116,427489,112694,788683,83144,255325,66486
0,11041,4,697,1536918.375,,,9,58,0.364548415,68.05095673,13.89999962,0,0,,9.0125,57.02916667,19100,543073,137314,19544,111460,136940,268879,165923,203922,149741,225248,51439,642246,20662,251984,25927
0,8354,35.5,752,37373312,4,5,1322,56,0.902049243,65.48613739,14.5,-2,1,-24.68909743,9.9625,57.02916667,9843,551680,165238,3261,76447,170262,250220,135444,160853,135055,177201,9943,670913,34962,196429,5402
0,8408,31,744,13484673,3,4,709,56,1.264056921,89.94890594,14.5,-1,1,-19.72991531,9.970833333,57.02916667,10200,551760,165489,2764,76263,170609,250106,135027,160512,134558,176807,10282,671183,35329,195945,4930
0,8407,33.5,743,13484673,3,4,221,56,1.216427326,69.18011475,14.39999962,-1,1,-22.56809339,9.979166667,57.02916667,10569,551841,165741,2271,76083,170956,249992,134611,160173,134062,176413,10634,671455,35700,195462,4464
1,8295,5.5,741,12286576,3,4,221,55,0.397344112,69.48245239,14.39999962,0,1,-3.356984817,10.0125,57.02916667,12142,552169,166760,553,75393,172353,249545,132951,158823,132076,174844,12148,672542,37214,193530,2740
1,8209,3,745,9553076,4,5,219,54,0.242799968,94.20707703,14.39999962,0,1,-1.068131533,10.02083333,57.02916667,12555,552252,167017,542,75228,172704,249436,132538,158487,131580,174454,12549,672815,37600,193047,2383
0,8823,39,730,11759999,3,3,6,60,2.053156614,57.64318848,14.60000038,-2,0,-0.305180438,22.77916667,57.02916667,28627,173738,716705,38689,77514,392542,733816,80884,172107,303639,425053,100351,788856,73909,249579,53754
0,8162,21,758,15882491,3,4,353,55,0.824107468,74.74495697,14.5,0,1,-8.941786831,9.970833333,57.02083333,10864,550845,166293,2746,75400,171282,251008,135552,161198,134723,176230,10976,670402,34704,196211,5338
0,8522,8,725,21807384,3,4,142,55,1.245270371,130.661499,14.10000038,0,0,-11.13908598,10.05416667,57.0125,15272,550764,169643,2684,72832,175439,250820,131974,158555,129943,171719,15277,672354,38062,191663,3677
0,8456,7,726,19538620,4,5,340,54,0.235609725,107.2730408,14.10000038,-2,0,-4.074158846,9.870833333,57.00416667,9937,548081,165010,9057,76147,168573,254237,141598,166666,141016,179905,10315,665599,29083,202543,11586
0,8363,8,734,8433196,4,5,396,54,0.134805351,316.7962341,14.19999981,-2,0,-4.837109941,9.879166667,57.00416667,10016,548156,165245,8570,75925,168908,254113,141180,166320,140520,179500,10376,665867,29428,202060,11125
0,8485,8,724,,3,4,173,54,1.508188963,66.79190826,14.19999981,-4,0,-0.24414435,9.954166667,56.99583333,12508,547940,168221,4904,73205,172634,253944,137972,163939,136245,175318,12720,667516,32128,197996,7852
0,8412,19.5,734,,3,4,243,54,2.221850157,155.2750244,14.19999981,-7,0,-16.51026169,9.970833333,56.99583333,13048,548101,168713,4189,72818,173317,253717,137150,163269,135256,174518,13229,668060,32915,197033,7167
